Domain,Capability,Incumbent evidence,Bocal web handoff,Bocal Android source,Target,P0/P1/P2,Acceptance evidence
Tuner,Chromatic pitch detection,"Documented Target/Bar tuner","Working reference; YIN-style; practical 45-2200 Hz search","Working source; YIN-style; uncompiled",M1,P0,"Labeled corpus across supported range and devices; octave-error and cents metrics"
Tuner,C0-C8 detection,"Mobile page states C0-C8",Partial; current lower bound about 45 Hz,Partial; current lower bound about 45 Hz,M2,P1,"C0-C8 sweep within declared error or honest per-mode ranges"
Tuner,0.1-cent numeric display,"Guide documents tenths of a cent",Working display precision,Working display precision,M1,P0,"Signed value agrees with reference within detector uncertainty"
Tuner,Target and bar display modes,"Guide documents Target and Bar styles",One task-first cent gauge,One task-first cent gauge,M2,P1,"Accessible mode switch; same pitch state and no color-only coding"
Tuner,Volume meter,"Guide documents volume meter",Signal input used but no calibrated meter,Not implemented,M2,P1,"dBFS/RMS view with clipping/noise-floor handling"
Tuner,Tone/partial meter,"Guide documents partial-balance tone meter",Partial harmonic descriptors in Analyze,Confidence only,M2,P1,"Validated descriptors; no universal good/bad tone label"
Tuner,Note-start tuning,"Guide toggle and analysis comparison",Trace supports manual observation,Not implemented,M2,P1,"Attack/body/release segmentation against labeled notes"
Tuner,Last interval,"Guide documents option",Not implemented,Not implemented,M3,P2,"Correct interval with enharmonic/notation policy"
Tuner,Reference A,"Guide supports adjustable concert A",Working 415-466 Hz,Working 430-450 Hz,M1,P0,"Persists per workspace; applied consistently to tuner/tone"
Tuner,Instrument transposition,"Guide instrument and manual transposition",Working from 35-instrument catalog,Working chips for concert/E-flat/B-flat,M1,P0,"Written/concert unit tests for every catalog entry"
Tuner,Notation systems,"Guide lists English solfege European Indian Japanese options",English pitch-class names only,English pitch-class names only,M3,P2,"Locale/notation packs with enharmonic and accessibility tests"
Tuner,Equal temperament,"Guide documents Equal",Working,Working,M1,P0,"12-TET target frequencies verified"
Tuner,Just/provided temperaments,"Guide documents Just and other provided temperaments",Just-major and Pythagorean tone examples; tuner remains equal,Not implemented,M2,P1,"Key/degree-aware cent targets and chord-role tests"
Tuner,Custom temperament editor/export,"Guide documents create duplicate edit delete export",Not implemented,Not implemented,M3,P2,"Versioned cent-offset schema round-trip"
Tuner,Mode/range sensitivity,"Guide has wind/string/voice and wide-to-ultra-fine",Tolerance only,Tolerance only,M2,P1,"Family-specific thresholds/damping backed by corpus"
Tuner,Damping/smoothing,"Guide offers slow normal fast per mode",Fixed scheduling/window,Fixed window,M2,P1,"Response-versus-jitter benchmark and user setting"
Tuner,Pitch tracker percent,"Guide session/timed percentage",Working in-tune percentage,Not stored in tuner yet,M1,P0,"Silence exclusion and reset rules tested"
Tuner,Timed events/practice timer,"Guide documents timed events and stopwatch",Working practice timer and timed block,Working practice timer,M1,P0,"Start/stop/recovery; metrics scoped to event"
Tuner,Per-note tuning activity,"Guide documents note grid/list and sorting",Range and aggregate only,Not implemented,M2,P1,"Per-note sample minimum; bias/distribution and date range"
Tuner,Calendar/goals/streaks,"Guide documents activity calendar goals streaks",Basic local sessions,Recent sessions only,M2,P1,"Graceful streak policy; timezone and deletion tests"
Tuner,Auto reference notes,"Guide follows performed notes plus intervals",Not implemented,Not implemented,M3,P2,"Feedback-safe routing/headphone guidance; latency tests"
Tuner,String tuner,"Dedicated incumbent page",Not implemented,Not implemented,Post-woodwind,P2,"Instrument-specific string layouts and sound references"
Metronome,Tempo 30-260 and tap,"Guide documents setting tempo",Working 30-260 and tap,Working 30-260 and tap,M1,P0,"Tempo error/drift measured for 30 minutes"
Metronome,Meters,"Guide documents meter",Working common meters,Working 2-7 over quarter,M1,P0,"Odd/compound meter accent logic tests"
Metronome,Subdivisions,"Guide documents subdivision",Working 1-4,Working 1-4,M1,P0,"Subdivision scheduling and visual alignment"
Metronome,Downbeat/accent,"Guide documents accent",Working,Working fixed downbeat,M1,P0,"Accent independently audible/visible/haptic"
Metronome,Sound and volume library,"Guide documents sounds/volume; mobile page cites 32 sounds",One synthesized click family,ToneGenerator system beeps,M2,P1,"Licensed/original sound pack; gain normalization"
Metronome,Visual flash/animated displays,"Guide documents both",Beat lights,Numbered beat lights,M1,P0,"Reduced-motion and flash-safety review"
Metronome,Haptic pulse,"BodyBeat and device use documented",Browser vibration when available,Working capability-blind basic effect,M2,P1,"Capability detection and fallback on representative devices"
Metronome,Random beat/bar silence,"Mobile guide documents assistant",Working random non-downbeat silence,Not implemented,M2,P1,"Seedable beat/bar modes; re-entry scoring optional"
Metronome,Voice count-in,"Mobile page documents voice count-ins",Not implemented,Not implemented,M2,P1,"Original/localized recordings and meter-aware count"
Metronome,Preset save/list/groups,"Guide documents presets lists groups editors",Not implemented,Not implemented,M2,P1,"Versioned preset schema; CRUD/import/export"
Metronome,Sequences and looping,"Guide documents sequence/loop",Not implemented,Not implemented,M2,P1,"Deterministic section transitions and loop boundaries"
Metronome,Tempo/meter automation,"Mobile page documents changes accelerando ritardando",Not implemented,Not implemented,M2,P1,"Fixed/relative/gradual ramps verified against timeline"
Metronome,Drones/chords in presets,"Mobile page documents drones/chords",Tone screen separate,Not implemented,M2,P1,"Beat-accurate tone start/stop and routing"
Metronome,Ableton Link,"Guide documents Link",Not implemented,Not implemented,M3,P2,"Multi-device drift/reconnect tests"
Metronome,BodyBeat/external pulse,"Guide documents BodyBeat",Not implemented,Not implemented,M3,P2,"Supported hardware protocol and failure behavior"
Tone,Chromatic wheel,"Guide documents wheel",Keyboard instead,Keyboard chips,M2,P2,"Accessible 12-pitch radial alternative plus list"
Tone,Multi-octave keyboard,"Guide documents eight-octave keyboard",Working two octaves,Working one octave at a time,M2,P1,"Full declared range; scroll/keyboard/switch access"
Tone,Pitch grid,"Guide documents grid",Not implemented,Not implemented,M3,P2,"Chord/voice editing and transposition tests"
Tone,Waveform synthesis,"Mobile page lists sine/square and more",Working sine/triangle/saw/square,Working sine/triangle/square,M1,P1,"Alias/level safeguards and audio focus"
Tone,Sampled instrument sounds,"Mobile page cites symphonic winds/strings/guitar/organ",Not implemented,Not implemented,M3,P1,"Original/licensed multisamples; loop and level QA"
Tone,Chords/drones,"Guide/mobile describes sustained tones and preset drones",Working multi-note sustain,Single-note loop,M2,P1,"Voicing control; temperament-aware targets"
Tone,Exercises/scales/intervals/harmonics,"Guide documents tone exercises",Not implemented,Not implemented,M2,P1,"Curriculum definition and deterministic playback"
Tone,Auto Exercise Creator,"Guide documents creator with platform qualifier",Not implemented,Not implemented,M3,P2,"Generated exercise constraints and editable output"
Analysis,Waveform and pitch,"Guide documents waveform/pitch",Working live waveform and pitch trace,Pitch snapshot only,M1,P0,"Frame/time scale labeled and synchronized"
Analysis,Spectral-frequency view,"Guide documents spectral frequency",Harmonic samples rather than full spectrum,Not implemented,M2,P1,"FFT calibration/windowing and frequency labels"
Analysis,Harmonic energy,"Guide documents harmonic energy",Working 12-harmonic relative view,Not implemented,M2,P1,"Synthetic fixtures and instrument corpus"
Analysis,Note staff,"Guide documents staff",Not implemented,Not implemented,M3,P2,"Notation/transposition correctness and timeline scroll"
Analysis,Interval trainer,"Guide documents interval trainer",Not implemented,Not implemented,M3,P2,"Curriculum and response accuracy"
Analysis,Attack/body/release and vibrato,"Mobile page describes note-start/body comparison",Crude trace/vibrato-span proxy,Not implemented,M2,P1,"Segmentation and vibrato rate/extent labeled-corpus validation"
Analysis,Sound-level mixer,"Guide documents mixer",Not implemented,Not implemented,M3,P2,"Route/gain controls and clipping protection"
Recording,Audio record/playback,"Guide documents recorder/playback",Working in-tab record/play/download,Not implemented,M2,P0,"Durable app-private files; interruption and permission tests"
Recording,Folders/naming/delete,"Guide documents file browser/folders/rename/delete",Clear ephemeral list only,Not implemented,M2,P1,"CRUD; scoped storage; undo/recovery policy"
Recording,Trim,"Mobile page documents trimming",Not implemented,Not implemented,M2,P1,"Waveform selection and non-destructive export"
Recording,Import/export,"Guide documents browsing/export; mobile lists imports",JSON export and blob download,JSON text share only,M2,P1,"SAF/share-sheet MIME and round-trip tests"
Recording,Tempo/pitch/timestretch,"Guide/mobile documents adjustment",Not implemented,Not implemented,M3,P1,"On-device Media3/approved DSP; artifact benchmark"
Recording,Video,"Mobile page platform-qualifies video",Not implemented,Not implemented,M4,P2,"On-device capture/edit privacy and storage budget"
Practice,Session timer/history,"Guide documents activity time",Working,Working,M1,P0,"Pause/crash/timezone behavior; accurate duration"
Practice,Focus plan,"Differentiating workflow",Working local checklist,Working fixed starter plan,M1,P0,"Editable/reorderable blocks and completion state"
Practice,Lesson notes,"Differentiating workflow",Working local note,Working local note,M1,P0,"Autosave/version/export and profile isolation"
Practice,Equipment/reed log,"Baseline differentiator",Not in standalone; present in hosted-source UI,Not implemented,M2,P1,"Setup-linked sessions; reed rotation/service schema"
Practice,Wishlist/repertoire log,"Baseline requirement",Present in hosted-source concept; not standalone,Not implemented,M3,P2,"Local metadata; no unlicensed score distribution"
Practice,Coach bundle exchange,"Baseline v3 recommendation",JSON export foundation,JSON text export foundation,M3,P1,"Versioned bundle/import/annotation round-trip"
3D learning,Local interactive model viewer,"Bocal differentiator",Working glTF viewer,Working local WebView integration source,M1,P0,"All files load offline; orbit/reset/select controls"
3D learning,Alto sax recognizable educational geometry,"User requirement",Working original GLB with named parts/controls,Packaged local asset,M1,P0,"Four-view specialist visual review; no manufacturer trade dress"
3D learning,Alto note-to-fingering,"User requirement",Working core B-flat3-F6 map,Available inside local lab,M1,P0,"Two qualified sax educators sign chart/version"
3D learning,Alto reverse key-to-note lookup,"User requirement",Working exact-match core lookup,Available inside local lab,M1,P1,"Open/pressed state and alternatives tested"
3D learning,All saxophone models,"User requirement; Yamaha identifies six widespread",10 models generated,10 packaged,M1,P0,"Catalog transposition tests; low-A exception; visual review"
3D learning,All common woodwind families,"User requirement; Yamaha common-family list",35 models across 5 catalog families,35 packaged,M1,P0,"Catalog/file/node structural validator passes"
3D learning,Other woodwind note maps,"User requirement",Intentionally validation-gated,Intentionally validation-gated,M2-M4,P0,"One specialist source and two reviewers per family/system"
3D learning,Alternates/trills/altissimo/context,"Yamaha chart includes alternatives; expert need",Not implemented,Not implemented,M2,P1,"Context tags; instrument/setup specificity; errata path"
3D learning,Non-3D accessible equivalent,"Accessibility requirement",Note browser/list partial,Web lab inside native; native list not yet separate,M2,P0,"All states/actions reachable via logical list and TalkBack"
Platform,Static web/no maintained backend,"User preference",Working Vite dist,Embedded local dist,M1,P0,"Deploy to two static hosts; no server runtime"
Platform,Native Android project,"User requirement",N/A,Complete source; not compiled in environment,M1,P0,"Clean Android Studio sync; tests; install on physical devices"
Platform,Genuine APK,"User requirement",N/A,Not produced; toolchain absent,M1,P0,"Signed/unsigned APK passes ZIP manifest dex resources checks and device smoke"
Platform,No Internet permission/local-first,"Baseline hard rule",No app API/backend; host still serves files,Manifest has no INTERNET permission,M1,P0,"Network security inspection and offline functional suite"
Platform,Export/delete/privacy controls,"Baseline and persona need",JSON export; browser storage clear via browser,Export sessions; clear not surfaced,M2,P0,"In-app inspect/export/delete; privacy policy and store-form review"
Platform,Accessibility/TalkBack/contrast,"Incumbent offers VoiceOver; Bocal requirement",Semantic HTML and redundant status partial,Compose semantics/shape/text partial,M2,P0,"WCAG/Android checks with disabled users; no color-only state"
Platform,Localization/notation,"Incumbent lists languages/notation systems",Not implemented,Not implemented,M3,P2,"String externalization; pseudo-locale; notation unit tests"
Platform,MIDI/remote/external display,"Guide/mobile documents integrations",Not implemented,Not implemented,M3,P1,"MIDI mapping/persistence/reconnect; presentation mode"
Platform,Audio route/external mic,"Mobile page documents external devices",Browser/device default only,Platform default only,M2,P1,"Route selection/changes/Bluetooth latency warnings"
Platform,Calibration and benchmark suite,"Required for defensible quality",Synthetic smoke only,YIN 440-Hz/silence unit tests supplied,M2,P0,"Golden woodwind corpus; device matrix; regression thresholds"
Platform,Crash and WebView recovery,"Production requirement",Browser reload behavior,Render-process callback included,M2,P0,"Forced renderer death and state restore tests"
